ID,URL de origen,Texto visible,URL destino,Tipo,Visible desktop,Visible movil,Requiere JavaScript,HTTP final,Redirecciones,Title,H1,Canonical,Resultado,Evidencia
LINK-0001,/auth/facebook/callback/,(texto en enlace),#main-content,ancla,SI,SI,NO,N/A,N/A,,,,OK,Auditoria estatica de archivos HTML
LINK-0002,/auth/facebook/callback/,(texto en enlace),/,interno,SI,SI,NO,200 (local file),N/A,Jonathan Esteban | Full-Stack Developer & AI Engineer · Madrid & Barcelona,Jonathan Esteban,https://jonathanesteban.dev/,OK,Auditoria estatica de archivos HTML
LINK-0003,/auth/facebook/callback/,(texto en enlace),/servicios/,interno,SI,SI,NO,200 (local file),N/A,"Servicios de Desarrollo Web, IA y Automatización | Jonathan Esteban",Soluciones digitales que impulsan tu negocio,https://jonathanesteban.dev/servicios/,OK,Auditoria estatica de archivos HTML
LINK-0004,/auth/facebook/callback/,(texto en enlace),/proyectos/,interno,SI,SI,NO,200 (local file),N/A,Portfolio de Proyectos & Casos de Éxito | Jonathan Esteban,Portfolio de Proyectos & Casos,https://jonathanesteban.dev/proyectos/,OK,Auditoria estatica de archivos HTML
LINK-0005,/auth/facebook/callback/,(texto en enlace),/certificaciones/,interno,SI,SI,NO,200 (local file),N/A,Certificaciones & Formación | Jonathan Esteban,Formación & Certificaciones,https://jonathanesteban.dev/certificaciones/,OK,Auditoria estatica de archivos HTML
LINK-0006,/auth/facebook/callback/,(texto en enlace),/sobre-mi/,interno,SI,SI,NO,200 (local file),N/A,Sobre Mí | Jonathan Esteban — Full-Stack Developer & AI Engineer,Sobre Mí & Dashboard,https://jonathanesteban.dev/sobre-mi/,OK,Auditoria estatica de archivos HTML
LINK-0007,/auth/facebook/callback/,(texto en enlace),/faq/,interno,SI,SI,NO,200 (local file),N/A,Preguntas Frecuentes (FAQ) & Centro de Ayuda | Jonathan Esteban,Preguntas Frecuentes,https://jonathanesteban.dev/faq/,OK,Auditoria estatica de archivos HTML
LINK-0008,/auth/facebook/callback/,(texto en enlace),/contacto/,interno,SI,SI,NO,200 (local file),N/A,Contacto & Agendamiento | Jonathan Esteban,Formulario de Contacto,https://jonathanesteban.dev/contacto/,OK,Auditoria estatica de archivos HTML
LINK-0009,/auth/facebook/callback/,(texto en enlace),/,interno,SI,SI,NO,200 (local file),N/A,Jonathan Esteban | Full-Stack Developer & AI Engineer · Madrid & Barcelona,Jonathan Esteban,https://jonathanesteban.dev/,OK,Auditoria estatica de archivos HTML
LINK-0010,/auth/tiktok/callback/,(texto en enlace),#main-content,ancla,SI,SI,NO,N/A,N/A,,,,OK,Auditoria estatica de archivos HTML
LINK-0011,/auth/tiktok/callback/,(texto en enlace),/,interno,SI,SI,NO,200 (local file),N/A,Jonathan Esteban | Full-Stack Developer & AI Engineer · Madrid & Barcelona,Jonathan Esteban,https://jonathanesteban.dev/,OK,Auditoria estatica de archivos HTML
LINK-0012,/auth/tiktok/callback/,(texto en enlace),/servicios/,interno,SI,SI,NO,200 (local file),N/A,"Servicios de Desarrollo Web, IA y Automatización | Jonathan Esteban",Soluciones digitales que impulsan tu negocio,https://jonathanesteban.dev/servicios/,OK,Auditoria estatica de archivos HTML
LINK-0013,/auth/tiktok/callback/,(texto en enlace),/proyectos/,interno,SI,SI,NO,200 (local file),N/A,Portfolio de Proyectos & Casos de Éxito | Jonathan Esteban,Portfolio de Proyectos & Casos,https://jonathanesteban.dev/proyectos/,OK,Auditoria estatica de archivos HTML
LINK-0014,/auth/tiktok/callback/,(texto en enlace),/certificaciones/,interno,SI,SI,NO,200 (local file),N/A,Certificaciones & Formación | Jonathan Esteban,Formación & Certificaciones,https://jonathanesteban.dev/certificaciones/,OK,Auditoria estatica de archivos HTML
LINK-0015,/auth/tiktok/callback/,(texto en enlace),/sobre-mi/,interno,SI,SI,NO,200 (local file),N/A,Sobre Mí | Jonathan Esteban — Full-Stack Developer & AI Engineer,Sobre Mí & Dashboard,https://jonathanesteban.dev/sobre-mi/,OK,Auditoria estatica de archivos HTML
LINK-0016,/auth/tiktok/callback/,(texto en enlace),/faq/,interno,SI,SI,NO,200 (local file),N/A,Preguntas Frecuentes (FAQ) & Centro de Ayuda | Jonathan Esteban,Preguntas Frecuentes,https://jonathanesteban.dev/faq/,OK,Auditoria estatica de archivos HTML
LINK-0017,/auth/tiktok/callback/,(texto en enlace),/contacto/,interno,SI,SI,NO,200 (local file),N/A,Contacto & Agendamiento | Jonathan Esteban,Formulario de Contacto,https://jonathanesteban.dev/contacto/,OK,Auditoria estatica de archivos HTML
LINK-0018,/auth/tiktok/callback/,(texto en enlace),/,interno,SI,SI,NO,200 (local file),N/A,Jonathan Esteban | Full-Stack Developer & AI Engineer · Madrid & Barcelona,Jonathan Esteban,https://jonathanesteban.dev/,OK,Auditoria estatica de archivos HTML
LINK-0019,/certificaciones/,(texto en enlace),#main-content,ancla,SI,SI,NO,N/A,N/A,,,,OK,Auditoria estatica de archivos HTML
LINK-0020,/certificaciones/,(texto en enlace),/,interno,SI,SI,NO,200 (local file),N/A,Jonathan Esteban | Full-Stack Developer & AI Engineer · Madrid & Barcelona,Jonathan Esteban,https://jonathanesteban.dev/,OK,Auditoria estatica de archivos HTML
LINK-0021,/certificaciones/,(texto en enlace),/servicios/,interno,SI,SI,NO,200 (local file),N/A,"Servicios de Desarrollo Web, IA y Automatización | Jonathan Esteban",Soluciones digitales que impulsan tu negocio,https://jonathanesteban.dev/servicios/,OK,Auditoria estatica de archivos HTML
LINK-0022,/certificaciones/,(texto en enlace),/proyectos/,interno,SI,SI,NO,200 (local file),N/A,Portfolio de Proyectos & Casos de Éxito | Jonathan Esteban,Portfolio de Proyectos & Casos,https://jonathanesteban.dev/proyectos/,OK,Auditoria estatica de archivos HTML
LINK-0023,/certificaciones/,(texto en enlace),/certificaciones/,interno,SI,SI,NO,200 (local file),N/A,Certificaciones & Formación | Jonathan Esteban,Formación & Certificaciones,https://jonathanesteban.dev/certificaciones/,OK,Auditoria estatica de archivos HTML
LINK-0024,/certificaciones/,(texto en enlace),/sobre-mi/,interno,SI,SI,NO,200 (local file),N/A,Sobre Mí | Jonathan Esteban — Full-Stack Developer & AI Engineer,Sobre Mí & Dashboard,https://jonathanesteban.dev/sobre-mi/,OK,Auditoria estatica de archivos HTML
LINK-0025,/certificaciones/,(texto en enlace),/faq/,interno,SI,SI,NO,200 (local file),N/A,Preguntas Frecuentes (FAQ) & Centro de Ayuda | Jonathan Esteban,Preguntas Frecuentes,https://jonathanesteban.dev/faq/,OK,Auditoria estatica de archivos HTML
LINK-0026,/certificaciones/,(texto en enlace),/contacto/,interno,SI,SI,NO,200 (local file),N/A,Contacto & Agendamiento | Jonathan Esteban,Formulario de Contacto,https://jonathanesteban.dev/contacto/,OK,Auditoria estatica de archivos HTML
LINK-0027,/certificaciones/,(texto en enlace),/servicios/,interno,SI,SI,NO,200 (local file),N/A,"Servicios de Desarrollo Web, IA y Automatización | Jonathan Esteban",Soluciones digitales que impulsan tu negocio,https://jonathanesteban.dev/servicios/,OK,Auditoria estatica de archivos HTML
LINK-0028,/certificaciones/,(texto en enlace),/proyectos/,interno,SI,SI,NO,200 (local file),N/A,Portfolio de Proyectos & Casos de Éxito | Jonathan Esteban,Portfolio de Proyectos & Casos,https://jonathanesteban.dev/proyectos/,OK,Auditoria estatica de archivos HTML
LINK-0029,/certificaciones/,(texto en enlace),/certificaciones/,interno,SI,SI,NO,200 (local file),N/A,Certificaciones & Formación | Jonathan Esteban,Formación & Certificaciones,https://jonathanesteban.dev/certificaciones/,OK,Auditoria estatica de archivos HTML
